id,surahs,ayahs,ayahs-translation,clean_translation,theme,emotion,sentiment
1,1,1,"In the name of Allah, Most Gracious, Most Merciful",in the name of allah most gracious most merciful,"Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living","Grace, Contentment, Affection, Gratitude",Positive
2,1,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",praise be to allah the cherisher and sustainer of the worlds,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living, Creation and Signs, Justice and Social Fairness, Prophets and Revelation","Gratitude, Awe, Grace, Affection, Trust, Contentment, Love",Positive
3,1,3,"Most Gracious, Most Merciful;",most gracious most merciful,"Moral and Righteous Living, Tawhid (Oneness of God), Worship and Obedience, Justice and Social Fairness","Grace, Empaty, Contentment, Awe, Affection, Gratitude, Love, Ecstacy, Wonder, Trust, Joy, Pleasure, Hope, Courage, Desire, Happiness",Positive
4,1,4,Master of the Day of Judgment.,master of the day of judgment,"Afterlife and Judgment, Good vs Evil (Accountability), Tawhid (Oneness of God)",Contempt,Negative
5,1,5,"Thee do we worship, and Thine aid we seek.",thee do we worship and thine aid we seek,"Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living, Justice and Social Fairness","Grace, Awe, Trust, Affection, Love, Gratitude, Empaty, Ecstacy, Distress, Desire, Hope, Courage",Positive
6,1,6,"Show us the straight way,",show us the straight way,"Moral and Righteous Living, Good vs Evil (Accountability), Justice and Social Fairness",,Neutral
7,1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",the way of those on whom thou hast bestowed thy grace those whose portion is not wrath and who go not astray,"Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Tawhid (Oneness of God), Prophets and Revelation","Grace, Gratitude, Trust, Hope, Courage, Empaty, Affection, Contentment, Love, Joy, Ecstacy, Awe",Positive
8,2,1,A.L.M.,alm,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience, Good vs Evil (Accountability), Justice and Social Fairness","Anxiousness, Awe, Anger, Empaty, Anguish, Suffering, Hostility",Negative
9,2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",this is the book in it is guidance sure without doubt to those who fear allah,"Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Afterlife and Judgment, Worship and Obedience, Justice and Social Fairness","Fear, Trust, Courage",Positive
10,2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",who believe in the unseen are steadfast in prayer and spend out of what we have provided for them,"Worship and Obedience, Tawhid (Oneness of God), Afterlife and Judgment, Moral and Righteous Living","Trust, Courage, Hope, Ecstacy, Empaty, Grace",Negative
11,2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",and who believe in the revelation sent to thee and sent before thy time and in their hearts have the assurance of the hereafter,"Prophets and Revelation, Afterlife and Judgment, Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living","Trust, Hope, Grace, Ecstacy, Wonder, Awe, Courage, Empaty, Affection",Positive
12,2,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",they are on true guidance from their lord and it is these who will prosper,"Moral and Righteous Living, Tawhid (Oneness of God), Worship and Obedience, Justice and Social Fairness, Prophets and Revelation, Creation and Signs","Trust, Hope, Courage, Grace, Ecstacy, Awe, Pride, Joy, Empaty, Wonder, Contentment, Happiness, Gratitude, Affection, Pleasure",Positive
13,2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",as to those who reject faith it is the same to them whether thou warn them or do not warn them they will not believe,,"Contempt, Hostility, Distress, Despair",Negative
14,2,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",allah hath set a seal on their hearts and on their hearing and on their eyes is a veil great is the penalty they incur,"Tawhid (Oneness of God), Prophets and Revelation, Afterlife and Judgment, Good vs Evil (Accountability)","Suffering, Shame, Anguish, Fear, Contempt, Despair, Distress, Humiliation, Disappointment, Hostility, Regret, Remorse, Hatred, Frustration, Grief, Envy, Anxiousness, Anger, Awe, Rage",Negative
15,2,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",of the people there are some who say we believe in allah and the last day but they do not really believe,"Afterlife and Judgment, Prophets and Revelation","Shame, Distress, Disappointment",Negative
16,2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",fain would they deceive allah and those who believe but they only deceive themselves and realise it not,Worship and Obedience,"Shame, Fear, Anguish, Distress, Frustration, Awe, Contempt, Suffering, Hostility, Trust, Humiliation",Negative
17,2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",in their hearts is a disease and allah has increased their disease and grievous is the penalty they incur because they are false to themselves,Good vs Evil (Accountability),"Suffering, Anguish, Contempt, Shame, Distress, Hostility, Envy, Despair, Fear, Hatred, Regret, Frustration, Remorse, Disappointment, Ecstacy, Desire, Empaty, Anxiousness, Humiliation, Anger",Negative
18,2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",when it is said to them make not mischief on the earth they say why we only want to make peace,"Moral and Righteous Living, Prophets and Revelation, Tawhid (Oneness of God), Justice and Social Fairness","Courage, Empaty, Trust, Ecstacy, Remorse, Wonder, Contempt, Grace, Awe",Negative
19,2,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",of a surety they are the ones who make mischief but they realise it not,Good vs Evil (Accountability),"Contempt, Hostility, Distress, Ecstacy, Shame, Anguish, Regret, Envy",Negative
20,2,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",when it is said to them believe as the others believe they say shall we believe as the fools believe nay of a surety they are the fools but they do not know,,"Frustration, Distress, Contempt, Shame, Trust, Hostility, Despair, Fear",Negative
21,2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",when they meet those who believe they say we believe but when they are alone with their evil ones they say we are really with you we were only jesting,Good vs Evil (Accountability),"Contempt, Fear, Hostility, Remorse, Envy, Ecstacy, Regret",Negative
